date,season,team,opponent,moneyLine,projectedRuns
2018-04-04,2018,ATL,WSH,179,2.87
2018-04-05,2018,STL,ARI,-111,4.21
2018-04-05,2018,NYY,BAL,-265,6.17
2018-04-05,2018,TB,BOS,200,3.0
2018-04-05,2018,MIL,CHC,-101,4.52
2018-04-05,2018,PIT,CIN,-162,4.95
2018-04-05,2018,SD,COL,-109,3.91
2018-04-05,2018,DET,CWS,109,4.07
2018-04-05,2018,CWS,DET,-119,4.62
2018-04-05,2018,PHI,MIA,-145,4.73
2018-04-05,2018,CHC,MIL,-109,4.69
2018-04-05,2018,SEA,MIN,-105,3.84
2018-04-05,2018,WSH,NYM,-155,4.25
2018-04-05,2018,BAL,NYY,225,2.62
2018-04-05,2018,TEX,OAK,140,3.75
2018-04-05,2018,MIA,PHI,130,3.48
2018-04-05,2018,CIN,PIT,147,3.24
2018-04-05,2018,COL,SD,-101,3.77
2018-04-05,2018,MIN,SEA,-105,3.84
2018-04-05,2018,ARI,STL,101,3.98
2018-04-05,2018,BOS,TB,-230,6.27
2018-04-05,2018,OAK,TEX,-155,5.47
2018-04-05,2018,NYM,WSH,140,2.92
2018-04-06,2018,COL,ATL,-152,5.43
2018-04-06,2018,NYY,BAL,-181,6.12
2018-04-06,2018,MIL,CHC,116,3.94
2018-04-06,2018,PIT,CIN,111,3.79
2018-04-06,2018,KC,CLE,203,2.31
2018-04-06,2018,ATL,COL,137,3.8
2018-04-06,2018,SD,HOU,248,2.44
2018-04-06,2018,CLE,KC,-233,4.9
2018-04-06,2018,OAK,LAA,116,4.17
2018-04-06,2018,CHC,MIL,-131,4.82
2018-04-06,2018,BAL,NYY,161,3.64
2018-04-06,2018,LAA,OAK,-131,5.1
2018-04-06,2018,CIN,PIT,-121,4.38
2018-04-06,2018,HOU,SD,-288,6.31
2018-04-06,2018,TOR,TEX,-116,5.37
2018-04-06,2018,TEX,TOR,106,4.85
2018-04-07,2018,STL,ARI,-109,3.91
2018-04-07,2018,COL,ATL,-146,6.53
2018-04-07,2018,NYY,BAL,-235,6.66
2018-04-07,2018,TB,BOS,150,3.6
2018-04-07,2018,MIL,CHC,118,4.13
2018-04-07,2018,PIT,CIN,-131,4.54
2018-04-07,2018,KC,CLE,205,2.46
2018-04-07,2018,ATL,COL,131,4.76
2018-04-07,2018,DET,CWS,109,3.83
2018-04-07,2018,CWS,DET,-119,4.35
2018-04-07,2018,SD,HOU,275,2.4
2018-04-07,2018,CLE,KC,-245,5.33
2018-04-07,2018,OAK,LAA,104,4.41
2018-04-07,2018,SF,LAD,116,3.7
2018-04-07,2018,PHI,MIA,-175,5.41
2018-04-07,2018,CHC,MIL,-133,5.14
