date,season,team,opponent,is_home,team_score,opp_score,target_win,moneyLine,projectedRuns,runs_scored,runs_allowed,wins,losses,ERA,wOBA,OPS,wRC+,FIP,avg_exit_velocity,avg_launch_angle,avg_xwOBA
2018-04-01,2018,DET,PIT,1,6,8,0,-111.0,4.47,630,796,64,98,4.58,0.295,0.68,83,4.59,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,DET,PIT,1,6,8,0,111.0,4.03,630,796,64,98,4.58,0.295,0.68,83,4.59,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,OAK,LAA,1,4,7,0,116.0,4.17,813,674,97,65,3.81,0.329,0.764,112,4.18,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,SEA,CLE,1,5,4,1,130.0,3.26,677,711,89,73,4.13,0.313,0.722,100,4.05,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,TB,BOS,1,1,2,0,-114.0,4.53,716,646,90,72,3.74,0.322,0.74,107,3.82,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,TEX,HOU,1,2,8,0,140.0,3.96,737,848,67,95,4.92,0.315,0.722,89,4.79,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,TOR,NYY,1,7,4,1,-114.0,4.53,709,832,73,89,4.85,0.319,0.739,100,4.53,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-02,2018,ARI,LAD,1,8,7,1,-101.0,4.52,693,644,82,80,3.72,0.306,0.707,88,3.91,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-02,2018,ATL,WSH,1,1,8,0,111.0,4.27,759,657,90,72,3.75,0.319,0.742,96,3.99,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-02,2018,CIN,CHC,1,1,0,1,125.0,3.78,696,819,67,95,4.63,0.317,0.729,94,4.68,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-02,2018,MIA,BOS,1,3,7,0,118.0,3.9,589,809,63,98,4.76,0.289,0.659,83,4.57,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-02,2018,MIL,STL,1,4,8,0,-111.0,5.0,754,659,96,67,3.73,0.322,0.747,100,4.01,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-02,2018,PIT,MIN,1,5,4,1,-146.0,4.45,692,693,82,79,4.0,0.312,0.725,95,4.06,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-02,2018,SD,COL,1,4,7,0,-111.0,4.21,617,767,66,96,4.4,0.294,0.677,84,4.1,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-02,2018,LAA,CLE,1,0,6,0,101.0,3.98,721,722,80,82,4.15,0.313,0.726,98,4.36,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-02,2018,DET,KC,1,6,1,1,-111.0,4.47,630,796,64,98,4.58,0.295,0.68,83,4.59,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-02,2018,HOU,BAL,1,6,1,1,-228.0,6.6,797,534,103,59,3.11,0.327,0.754,110,3.23,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-02,2018,OAK,TEX,1,3,1,1,-167.0,5.63,813,674,97,65,3.81,0.329,0.764,112,4.18,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-02,2018,TOR,CWS,1,4,2,1,-175.0,5.73,709,832,73,89,4.85,0.319,0.739,100,4.53,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-03,2018,ARI,LAD,1,6,1,1,153.0,2.96,693,644,82,80,3.72,0.306,0.707,88,3.91,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-03,2018,ATL,WSH,1,13,6,1,119.0,4.34,759,657,90,72,3.75,0.319,0.742,96,3.99,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-03,2018,MIA,BOS,1,2,4,0,230.0,2.27,589,809,63,98,4.76,0.289,0.659,83,4.57,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-03,2018,MIL,STL,1,5,4,1,-108.0,4.93,754,659,96,67,3.73,0.322,0.747,100,4.01,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-03,2018,NYM,PHI,1,2,0,1,-126.0,4.18,676,707,77,85,4.07,0.305,0.701,94,3.97,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-03,2018,SD,COL,1,8,4,1,102.0,3.96,617,767,66,96,4.4,0.294,0.677,84,4.1,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-03,2018,SF,SEA,1,4,6,0,-115.0,4.28,603,699,73,89,3.95,0.29,0.667,82,3.98,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-03,2018,LAA,CLE,1,13,2,1,-133.0,4.57,721,722,80,82,4.15,0.313,0.726,98,4.36,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-03,2018,DET,KC,1,0,1,0,-112.0,4.49,630,796,64,98,4.58,0.295,0.68,83,4.59,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-03,2018,HOU,BAL,1,10,6,1,-250.0,6.43,797,534,103,59,3.11,0.327,0.754,110,3.23,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-03,2018,NYY,TB,1,11,4,1,-185.0,4.54,851,669,100,62,3.78,0.335,0.781,112,3.63,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-03,2018,OAK,TEX,1,1,4,0,-132.0,5.12,813,674,97,65,3.81,0.329,0.764,112,4.18,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-03,2018,TOR,CWS,1,14,5,1,-185.0,5.84,709,832,73,89,4.85,0.319,0.739,100,4.53,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-04,2018,ARI,LAD,1,3,0,1,116.0,3.7,693,644,82,80,3.72,0.306,0.707,88,3.91,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-04,2018,ATL,WSH,1,7,1,1,179.0,2.87,759,657,90,72,3.75,0.319,0.742,96,3.99,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-04,2018,MIL,STL,1,0,6,0,-105.0,4.87,754,659,96,67,3.73,0.322,0.747,100,4.01,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-04,2018,NYM,PHI,1,4,2,1,-146.0,4.15,676,707,77,85,4.07,0.305,0.701,94,3.97,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-04,2018,PIT,MIN,1,3,7,0,-121.0,4.38,692,693,82,79,4.0,0.312,0.725,95,4.06,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-04,2018,SD,COL,1,2,5,0,116.0,3.24,617,767,66,96,4.4,0.294,0.677,84,4.1,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-04,2018,SF,SEA,1,10,1,1,-140.0,4.38,603,699,73,89,3.95,0.29,0.667,82,3.98,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-04,2018,LAA,CLE,1,3,2,1,135.0,2.98,721,722,80,82,4.15,0.313,0.726,98,4.36,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-04,2018,HOU,BAL,1,3,2,1,-166.0,4.99,797,534,103,59,3.11,0.327,0.754,110,3.23,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-04,2018,NYY,TB,1,7,2,1,-267.0,6.18,851,669,100,62,3.78,0.335,0.781,112,3.63,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-04,2018,OAK,TEX,1,6,2,1,-160.0,5.23,813,674,97,65,3.81,0.329,0.764,112,4.18,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-04,2018,TOR,CWS,1,3,4,0,-223.0,6.56,709,832,73,89,4.85,0.319,0.739,100,4.53,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-05,2018,MIL,CHC,1,0,8,0,-101.0,4.52,754,659,96,67,3.73,0.322,0.747,100,4.01,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-05,2018,PHI,MIA,1,5,0,1,-145.0,4.73,677,728,80,82,4.14,0.307,0.707,91,3.83,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-05,2018,PIT,CIN,1,5,2,1,-162.0,4.95,692,693,82,79,4.0,0.312,0.725,95,4.06,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-05,2018,SD,COL,1,1,3,0,-109.0,3.91,617,767,66,96,4.4,0.294,0.677,84,4.1,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-05,2018,STL,ARI,1,1,3,0,-111.0,4.21,759,691,88,74,3.85,0.316,0.73,99,3.97,88.71894781048451,12.736806352394755,0.37544768766563263
